식품명,1회제공량,에너지,단백질,지방,탄수화물,당류,나트륨,콜레스테롤,포화지방산,트랜스지방산
24티비엘브이디24TBLVD)티리프트,30g,46.15㎉,0.16g,0.33g,10.64g,6.55g,0.0㎎,0g,0.25g,0g
AQUA아쿠아)유기농사탕,10.0g,4.12㎉,0g,0g,1g,0.75g,0㎎,0g,0g,0g
AQUA아쿠아)트리탑후르츠스넥,10g,3.08㎉,0.04g,0g,0.69g,0.75g,0.77㎎,0g,0g,0g
BS시스템)뉴숯불갈비맛삼각김밥,100g,161.87㎉,3.94g,2.16g,31.67g,9.87g,297.06㎎,0g,0.34g,0.01g
BS시스템)베이컨앤에그샌드위치,150g,566.62㎉,20.6g,23.26g,68.72g,1.6g,1197.17㎎,0g,3.03g,0g
BS시스템)참치김치삼각김밥,100g,158.11㎉,3.66g,2.27g,30.75g,0.26g,258.83㎎,0g,0.24g,0g
BS시스템)참치마요네즈삼각김밥,100g,173.62㎉,3.66g,4.64g,29.29g,9.87g,304.89㎎,0g,0.48g,0g
BS시스템)크랜베리치킨샌드위치,150g,564.46㎉,20.34g,29.31g,54.82g,0.83g,745.83㎎,0g,0.62g,0g
BS시스템)통통한닭가슴살김밥,100g,148.81㎉,4.08g,3.39g,25.49g,0.48g,506.96㎎,0g,0.24g,0g
BS시스템)통통한불고기김밥,100g,144.21㎉,4.24g,2.94g,25.19g,0.45g,351.62㎎,0g,0.25g,0.01g
BS시스템)통통한참치김밥,100g,154.1㎉,4.86g,5.56g,21.15g,0.32g,389.89㎎,0g,0.18g,0g
BS시스템)통통한한줄김밥,100g,116.6㎉,3.62g,1.74g,21.61g,0.5g,450.89㎎,0g,0.22g,0g
BS시스템)핫치킨앤치즈샌드위치,150g,489.24㎉,17.99g,16.52g,67.16g,1.3g,840.65㎎,0g,2.28g,0.04g
BS시스템)햄감자샌드위치,150g,482.78㎉,17.58g,22.01g,53.59g,2.05g,639.73㎎,0g,5.01g,0g
CJ)100%국산고추장,100.0mL,245.0㎉,5g,3.0g,49.0g,27g,2340.0㎎,0g,1.0g,0g
CJ)100%스페인산올리브유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)100%캐나다산카놀라유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)100%코코넛오일플레인,100.0g,900㎉,0g,100g,0g,0g,0㎎,0g,92g,0g
CJ)100%통들깨들기름,100.0mL,830.0㎉,0.0g,92.0g,0.0g,0g,0.0㎎,0g,9g,0g
CJ)100%통참깨참기름,100.0mL,830.0㎉,0g,92.0g,0.0g,0g,0.0㎎,0g,16.0g,0g
CJ)5가지자연에서얻은재료부침가루,100.0g,365㎉,0g,0g,0g,0.3g,490㎎,0g,0g,0g
CJ)5가지자연에서얻은재료튀김가루,100.0g,365㎉,8g,1.5g,80g,0g,590㎎,0g,0.5g,0g
CJ)8가지국산양념쌈장,100.0g,200.0㎉,9.0g,4.0g,32.0g,18g,1830.0㎎,0g,0.9g,0g
CJ)CBL씨비엘,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.16g,0g
CJ)CJ비비고군만두,450.0g,920㎉,28g,48g,94g,13g,1320.0㎎,0g,15g,0.3g
CJ)CJ비비고김치왕교자,420.0g,735㎉,27g,25g,100g,12g,1680㎎,0g,8g,1g
CJ)CJ비비고물만두,370.0g,715㎉,28g,35g,71g,10g,1530.0㎎,0g,11g,0.3g
CJ)CJ비비고새우왕교자,315.0g,555㎉,25g,21g,67g,7g,1280㎎,0g,8g,0g
CJ)CJ비비고왕교자,100.0g,215㎉,7g,11g,22g,2g,310㎎,0g,4g,0g
CJ)CJ비비고찐만두,392.0g,745㎉,23g,43g,67g,9g,1180㎎,0g,15g,0.5g
CJ)CJ비비고청양고추찐만두,392.0g,585.0㎉,24g,35.0g,44.0g,7g,1140.0㎎,0g,13.0g,1.2g
CJ)CJ비비고한섬만두,384.0g,760㎉,0g,0g,0g,10g,1340㎎,60g,14g,0.5미만g
CJ)CJ포도씨유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)CJ프레시안생야채와돼지고기물만두,150g,255.0㎉,9.6g,12g,27g,4.37g,720.0㎎,0g,5.1g,0g
CJ)CJ프레시안생야채와돼지고기손만두,150g,495.0㎉,16.65g,18g,65.25g,5.66g,900.0㎎,0g,6.07g,0.68g
CJ)CJ프레시안생야채와돼지고기왕만두,150g,247.5㎉,10.5g,10.5g,28.5g,5.66g,585.0㎎,0g,3.45g,0g
CJ)CJ프레시안우리손만두,150g,285.0㎉,12g,13.5g,30g,5.66g,465.0㎎,0g,4.95g,0g
CJ)CJ황금참기름,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)The더건강한그릴김밥햄,100.0g,225.0㎉,14g,17.0g,4.0g,2g,590.0㎎,0g,6.0g,0g
CJ)The더건강한그릴비엔나,30.0g,275.0㎉,13g,24.0g,2.0g,2g,780.0㎎,0g,8.0g,0g
CJ)The더건강한그릴비엔나치즈,100.0g,295.0㎉,14g,25.0g,3.0g,2g,660.0㎎,0g,9.0g,0g
CJ)The더건강한그릴후랑크소시지,100.0g,250.0㎉,14g,20.0g,3.0g,1.48g,640.0㎎,0g,7.0g,0g
CJ)The더건강한브런치슬라이스오리지널,100.0g,120㎉,19g,2.9g,4g,1g,850㎎,0g,1.2g,0g
CJ)The더건강한브런치후랑크오리지널,100.0g,250.0㎉,12g,21.0g,3.0g,2g,650.0㎎,0g,7.0g,0g
CJ)The더건강한샌드위치햄,100.0g,260.0㎉,15g,21.0g,3.0g,2g,590.0㎎,0g,7.0g,0g
CJ)The더건강한의성마늘햄,30.0g,60.0㎉,4g,5.0g,1.0g,0g,190.0㎎,0g,1.0g,0g
CJ)The더건강한자연에서얻은재료로만든구우면맛있는햄,100.0g,270.0㎉,14g,22.0g,4.0g,2g,650.0㎎,0g,8.0g,0g
CJ)The더건강한자연에서얻은재료로만든그릴김밥햄,100.0g,260.0㎉,16g,21.0g,2.0g,1g,320.0㎎,0g,7.0g,0g
CJ)The더건강한자연에서얻은재료로만든그릴후랑크,100.0g,265.0㎉,15g,21.0g,4.0g,1g,440.0㎎,0g,7.0g,0g
CJ)The더건강한자연에서얻은재료로만든샌드위치햄,100.0g,260.0㎉,15g,21.0g,3.0g,2g,590.0㎎,0g,7.0g,0g
CJ)The더건강한통목살스테이크,100.0g,225㎉,0g,0g,0g,1g,580㎎,80g,5g,0g
CJ)The더건강한통크게썰어넣은후랑크어니언,100.0g,290㎉,0g,0g,0g,1g,860㎎,55g,8g,0g
CJ)The더건강한햄,100.0g,285.0㎉,15g,23.0g,4.0g,2g,710.0㎎,0g,7.0g,0g
CJ)The더건강한햄치즈,100.0g,330㎉,13g,30g,2g,1g,640㎎,0g,11g,0g
CJ)The더건강한햄클래식,100.0g,330.0㎉,14g,30.0g,1.0g,1g,600.0㎎,0g,11.0g,0g
CJ)The더건강한햄페퍼갈릭,100.0g,330.0㎉,14g,29.0g,3.0g,1g,660.0㎎,0g,10.0g,0g
CJ)The더건강한후랑크소시지,100.0g,275.0㎉,13g,24.0g,2.0g,1g,730.0㎎,0g,8.0g,0g
CJ)VIPS고르곤졸라피자,70g,126.57㎉,4.9g,3.67g,17.98g,3.28g,171.5㎎,0g,1.81g,0g
CJ)bibioCookedStickyWhiteRice,210.0g,310.0㎉,6.0g,1.0g,71.0g,0g,10.0㎎,0g,0g,0g
CJ)가득한재래식된장,100.0g,180.0㎉,12g,3.8g,25.0g,13g,3660.0㎎,0g,0.5g,0g
CJ)가쓰오메밀생면,100g,169.01㎉,6.34g,1.13g,33.8g,2.3g,750.0㎎,0g,0g,0g
CJ)가쓰오우동,120g,91.97㎉,2.51g,0.48g,19.48g,4.12g,510.62㎎,0g,0.15g,0g
CJ)감자수제비가루,240.0g,845㎉,0g,0g,0g,4g,460㎎,0g,0g,0g
CJ)강력밀가루,100.0g,350㎉,13g,1.8g,71g,0g,0㎎,0g,0.6g,0g
CJ)건강을생각한요리유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.03g,0g
CJ)건강한부침가루,100.0g,365㎉,11g,2.9g,74g,1g,550㎎,0g,0g,0g
CJ)검은깨로만든황금참기름,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)게토레이피치쿨러,200g,92.0㎉,0g,0g,24g,0.0g,0.0㎎,0g,0g,0g
CJ)고기전용쌈장,100.0g,195.0㎉,7.0g,3.1g,35.0g,19g,2310.0㎎,0g,0.6g,0g
CJ)고메새우스프링롤고메새우스프링롤,100.0g,152㎉,0g,0g,0g,6g,430㎎,20g,0.3g,0g
CJ)고메함박스테이크,200.0g,340㎉,18g,21g,20g,12g,860.0㎎,0g,7g,0.0g
CJ)고소한맛진한참기름,100.0g,830㎉,0g,92g,0g,0g,0㎎,0g,0g,16g
CJ)고올레산해바라기유엔,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)교촌치킨튀김전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)구수한집된장,100.0g,150.0㎉,14g,2.4g,18.0g,4g,3710.0㎎,0g,0.0g,0g
CJ)구수한집된장골드,100.0g,150.0㎉,14g,2.7g,17.0g,3g,3330.0㎎,0g,0.0g,0g
CJ)구이한판,60.0g,145.0㎉,7g,12.0g,2.0g,1g,430.0㎎,0g,4.0g,0g
CJ)국산100%햇당면,20g,14.08㎉,0g,0g,3.52g,0.01g,0.8㎎,0g,0g,0g
CJ)그대로끓여먹는된장찌개바지락과게전용,100.0g,165.0㎉,13.0g,5.0g,17.0g,6g,4430.0㎎,0g,1g,0g
CJ)그대로끓여먹는된장찌개쇠고기전용,100.0g,205.0㎉,13.0g,8.0g,20.0g,7g,3490.0㎎,0g,2.2g,0g
CJ)그대로끓여먹는된장찌개청양초전용,100.0g,175.0㎉,13.0g,5.0g,20.0g,8g,3800.0㎎,0g,0.9g,0g
CJ)그릴비엔나,100.0g,230.0㎉,15g,16.0g,6.0g,2g,860.0㎎,0g,5.0g,0g
CJ)그릴비엔나소시지,100.0g,230.0㎉,15g,16.0g,6.0g,2g,860.0㎎,0g,5.0g,0g
CJ)그릴스모크햄,100.0g,215.0㎉,14g,15.0g,6.0g,3g,910.0㎎,0g,5.0g,0g
CJ)그릴후랑크갈릭,100.0g,300.0㎉,13g,26.0g,3.0g,3g,580.0㎎,0g,9.0g,0g
CJ)그릴후랑크오리지널,100.0g,250.0㎉,13g,20.0g,5.0g,5g,710.0㎎,0g,7.0g,0g
CJ)그릴후랑크치즈,100.0g,295.0㎉,13g,25.0g,4.0g,2g,620.0㎎,0g,9.0g,0g
CJ)그릴후랑크할라피뇨,100.0g,250.0㎉,13g,20.0g,5.0g,5g,710.0㎎,0g,7.0g,0g
CJ)급식용혼합유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)깐부치킨전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)꼬꼬덮밥간장,239.0g,415㎉,15g,11g,64g,11g,710.0㎎,0g,3.2g,0.0g
CJ)꼬꼬덮밥마라,238.0g,430㎉,14g,11g,69g,9g,850.0㎎,0g,3.1g,0.0g
CJ)꼬마핫도그,70g,379.83㎉,5.78g,12.6g,60.82g,3.35g,547.51㎎,0g,4.3g,0.07g
CJ)꾸러기짜장,100g,105.0㎉,4g,1.3g,10.7g,0.0g,447.0㎎,0g,0g,0g
CJ)꾸러기카레,200g,380.0㎉,10.8g,5.2g,40g,0.0g,1280.0㎎,0g,0g,0g
CJ)남양전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)남양전용유플러스,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)납작군만두,150g,405.0㎉,13.5g,18g,47.92g,2.84g,614.92㎎,0g,5.85g,0g
CJ)누룽지닭백숙죽,280.0g,150.0㎉,7g,1.8g,26.0g,1미만g,610.0㎎,0g,0.0g,0g
CJ)뉴트리션스쿨,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)뉴트리션스쿨현미유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.06g,0g
CJ)다담낙지볶음양념,15g,4.64㎉,0.11g,0.05g,0.98g,0.86g,45.99㎎,0g,0g,0g
CJ)다담된장찌개양념,100.0g,155.0㎉,12.0g,4.9g,16.0g,6g,3290.0㎎,0g,0.9g,0g
CJ)다담매운탕양념,15g,3.24㎉,0.1g,0.04g,0.66g,0.58g,54.29㎎,0g,0g,0g
CJ)다담보리쌈장,100.0g,210.0㎉,9.0g,4.3g,34.0g,18g,820.0㎎,0g,0.8g,0g
CJ)다담양념듬뿍쌈장,100.0g,195.0㎉,8.0g,3.4g,33.0g,19g,2030.0㎎,0g,0.7g,0g
CJ)다담오징어볶음양념,15g,4.86㎉,0.13g,0.05g,1.01g,0.86g,45.72㎎,0g,0g,0g
CJ)다담우렁강된장양념,100.0g,150.0㎉,11.0g,4.2g,17.0g,9g,3230.0㎎,0g,1g,0g
CJ)다담청국장양념,100.0g,130.0㎉,12.0g,4.4g,11.0g,3g,2560.0㎎,0g,0.7g,0g
CJ)다담해물탕양념,15g,4.36㎉,0.09g,0.04g,0.96g,0.86g,49.12㎎,0g,0g,0g
CJ)더건강한미니비엔나,30g,22.5㎉,1.5g,1.8g,0.3g,0.23g,66.0㎎,0g,0.63g,0g
CJ)더건강한핫도그,70g,137.2㎉,4.12g,7.2g,13.72g,5.34g,261.32㎎,0g,2.2g,0g
CJ)더비비고들깨소고기죽,350.0g,230㎉,11g,7g,31g,3g,400㎎,0g,1.1g,0g
CJ)더비비고문어미역죽,350.0g,210㎉,7g,3.2g,38g,1g,350.0㎎,0g,0.5g,0.0g
CJ)더비비고뿌리야채죽,350.0g,175㎉,8g,3.2g,38g,1g,440㎎,0g,0g,0g
CJ)더비비고수삼갈비탕,500.0g,175㎉,19g,8g,7g,0g,870㎎,0g,1.4g,0g
CJ)더비비고전복가자미미역국,550.0g,130㎉,14g,2.9g,12g,2g,1150.0㎎,0g,0g,0.0g
CJ)더비비고전복삼계죽,350.0g,175㎉,8g,3.2g,38g,1g,440.0㎎,0g,0g,0.0g
CJ)더욱맛있어진백설군만두,150g,427.5㎉,14.62g,20.25g,47.25g,2.84g,697.5㎎,0g,7.2g,0g
CJ)더욱맛있어진백설잡채군만두,150g,270.0㎉,9g,12g,33g,2.84g,570.0㎎,0g,4.5g,0g
CJ)덜맵게순한태양초고추장,100.0mL,225.0㎉,7g,2.0g,45.0g,25g,2020.0㎎,0g,0.0g,0g
CJ)도라에몽,30g,15.0㎉,0.9g,0.81g,1.2g,0.31g,63.0㎎,0g,0.33g,0g
CJ)도병생짜장면영우냉동식품,120g,80.86㎉,2.25g,1.56g,15.47g,1.31g,19.97㎎,0g,0.49g,0.07g
CJ)돈앤치퀸오일,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)동일전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)두루두루만두,150g,442.5㎉,19.5g,12g,64.5g,4.5g,1020.0㎎,0g,3.9g,0g
CJ)두영FG에프지전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)딴떡볶이는화끈하다,100g,106.25㎉,1.75g,0.5g,23.75g,2.0g,175.0㎎,0g,0g,0g
CJ)땅콩호두아몬드로만든견과유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)뚜레쥬르튀김유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)라만차포도씨유LAMANCHAGRAPESEEDOIL,100.0mL,900㎉,0g,0g,0g,0g,0㎎,0g,13g,0g
CJ)라이트라,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)러브레터프리미엄오일,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)러브레터프리미엄오일플러스,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)런천미트,100.0g,195.0㎉,16g,13.0g,3.0g,3g,780.0㎎,0g,8.0g,0g
CJ)레또미트볼,30g,17.28㎉,0.72g,1.01g,1.34g,0.0g,45.09㎎,0g,0g,0g
CJ)레또쇠고기덮밥소스,100g,65.0㎉,3g,2g,8.5g,0.0g,600.0㎎,0g,0g,0g
CJ)레또쇠고기짜장,100g,108.0㎉,7.5g,3.5g,11.5g,0.0g,550.0㎎,0g,0g,0g
CJ)레또유니짜장,100g,98.0㎉,1.7g,2.2g,5.6g,0.0g,481.0㎎,0g,0g,0g
CJ)레또짜장,100g,185.0㎉,3g,3.5g,12g,0.0g,490.0㎎,0g,0g,0g
CJ)레또카레,200g,640.0㎉,12g,12g,40g,0.0g,1660.0㎎,0g,0g,0g
CJ)레또크림스튜,100g,118.0㎉,4.1g,8g,0.2g,0.0g,119.0㎎,0g,0g,0g
CJ)레또탕수완자,30g,13.41㎉,0.53g,0.64g,1.38g,0.0g,33.66㎎,0g,0g,0g
CJ)렛또핫카레,200g,308.0㎉,5.6g,5.6g,20g,0.0g,1268.0㎎,0g,0g,0g
CJ)로스트비엔나,100.0g,230.0㎉,15g,16.0g,6.0g,2g,860.0㎎,0g,5.0g,0g
CJ)로스트비엔나소시지,100.0g,230.0㎉,15g,16.0g,6.0g,2g,860.0㎎,0g,5.0g,0g
CJ)리그난참기름,100.0mL,830.0㎉,0g,92.0g,0.0g,0g,0.0㎎,0g,15.0g,0g
CJ)리치푸드튀김용식용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)마다가스카,30g,9.0㎉,0.9g,0g,1.5g,0.31g,39.0㎎,0g,0g,0g
CJ)마르게리타피자피자코리아,70g,110.25㎉,5.51g,3.67g,13.48g,0.49g,238.88㎎,0g,2.2g,0g
CJ)맘스오일,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)맘스프리미엄오일,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)맛있는냉면사리와냉면육수,100g,78.12㎉,3.12g,0g,16.46g,3.46g,431.25㎎,0g,0g,0g
CJ)매드후라이치킨전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)매콤달콤쫄볶이,100g,219.1㎉,4.7g,1.1g,47.7g,8.5g,314.9㎎,0g,0.3g,0g
CJ)맥스봉,35.0g,60㎉,4g,3.2g,4g,2g,220㎎,0g,1.4g,0.5 미만g
CJ)맥스봉크림치즈콘,30g,16.71㎉,0.77g,0.98g,1.29g,0.31g,64.29㎎,0g,0.36g,0g
CJ)맥스봉할라피뇨,35.0g,60㎉,4g,3g,4g,2g,210㎎,0g,1.1g,0g
CJ)맥시칸치킨튀김유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.03g,0g
CJ)모모전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)미소야전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)미역국밥,167.0g,265㎉,6g,1.4g,57g,0g,920㎎,0g,0.5g,0g
CJ)미정콩칼국수,100g,271.43㎉,6.86g,1.49g,58.29g,0.6g,565.71㎎,0g,0g,0g
CJ)미초콜라겐,200g,152.94㎉,2.12g,0g,36.47g,35.29g,11.76㎎,0g,0g,0g
CJ)미초콜라겐블루베리,200g,560.0㎉,0g,0g,144g,144.0g,0.0㎎,0g,0g,0g
CJ)미초콜라겐석류,200g,720.0㎉,0g,0g,176g,176.0g,0.0㎎,0g,0g,0g
CJ)미트라구파스타,100g,151.7㎉,7g,5.3g,18.7g,2.96g,266.7㎎,0g,1.7g,0g
CJ)미트볼,30g,19.26㎉,1.08g,1.28g,0.85g,0.0g,45.09㎎,0g,0g,0g
CJ)바삭부침가루,100.0g,350㎉,9g,1.3g,75g,4g,910㎎,0g,0.5g,0g
CJ)바삭튀김가루,100.0g,350㎉,7g,1.3g,77g,1g,690㎎,0g,0.4g,0g
CJ)바삭한군만두,150g,292.5㎉,9g,16.5g,28.5g,2.84g,630.0㎎,0g,4.05g,0g
CJ)바삭한요리유,100.0g,900㎉,0g,0g,0g,0g,0㎎,0g,12g,0g
CJ)박력밀가루,100.0g,355㎉,8g,1.4g,77g,0g,0㎎,0g,0.5g,0g
CJ)백설고소한쌀눈유,5g,2.24㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)백설고소한참기름,5g,2.08㎉,0g,0.23g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)백설고올레산해바라기유엔,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)백설군만두,150g,420.0㎉,15g,19.5g,46.5g,2.84g,705.0㎎,0g,7.2g,0g
CJ)백설군만두구워먹는피자만두,150g,300.0㎉,13.5g,9g,42g,2.84g,735.0㎎,0g,7.05g,0.45g
CJ)백설김치군만두,150g,465.0㎉,15g,24g,48g,2.84g,945.0㎎,0g,9g,0g
CJ)백설김치만두,150g,262.5㎉,10.5g,12g,28.5g,3.15g,585.0㎎,0g,7.5g,0g
CJ)백설김치손만두,150g,277.5㎉,12g,9g,36g,0.45g,705.0㎎,0g,3.75g,0g
CJ)백설끈기올리고당,100.0g,260㎉,0g,0g,0g,50g,0㎎,0g,0g,0g
CJ)백설만두,150g,334.99㎉,9.99g,15g,39.99g,5.66g,639.9㎎,0g,4.99g,0g
CJ)백설물만두,150g,277.5㎉,13.5g,10.5g,31.5g,4.37g,615.0㎎,0g,4.05g,0g
CJ)백설사누끼우동면,100g,53.87㎉,1.11g,0.17g,11.91g,2.86g,41.59㎎,0g,0g,0g
CJ)백설손맛깃든사골곰탕,500g,175.0㎉,30g,5g,0g,0.0g,4500.0㎎,0g,0g,0g
CJ)백설스위트리알룰로스,100.0g,35㎉,0g,0g,0g,8g,300㎎,0g,0g,0g
CJ)백설스위트리자일로스설탕,100.0g,400㎉,0g,0g,100g,88g,0㎎,0g,0g,0g
CJ)백설스위트리타가토스,100.0g,150㎉,0g,0g,99g,0g,0㎎,0g,0g,0g
CJ)백설시럽용올리고당,100.0g,295㎉,0g,0g,0g,33g,0㎎,0g,0g,0g
CJ)백설실속군만두,150g,337.5㎉,9g,19.5g,31.5g,2.84g,1050.0㎎,0g,6.75g,0g
CJ)백설쌀눈유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.06g,0g
CJ)백설양념후랑크,100.0g,250.0㎉,10g,20.0g,8.0g,4g,610.0㎎,0g,7.0g,0g
CJ)백설오리지널더THE건강한핫도그,70g,176.81㎉,5.51g,9.19g,18.18g,5.35g,347.51㎎,0g,2.99g,0.07g
CJ)백설우리밀밀가루,100.0g,355㎉,11g,1.3g,75g,0g,0㎎,0g,0.4g,0g
CJ)백설유옥수수유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)백설유해바라기유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.03g,0g
CJ)백설제일제면소메밀소바,100g,355.0㎉,13g,1.2g,73g,3.46g,780.0㎎,0g,0g,0g
CJ)백설제일제면소소면,100g,346.94㎉,10.68g,0.11g,75.81g,3.93g,1003.5㎎,0g,0.01g,0g
CJ)백설제일제면소오색수면세트,100g,375.0㎉,13g,2g,76g,2.09g,970.0㎎,0g,0.5g,0g
CJ)백설제일제면소중면,100g,350.0㎉,9g,1.3g,76g,1.67g,1060.0㎎,0g,0g,0g
CJ)백설제일제면소칼국수면,100g,380.0㎉,10g,1.6g,81g,3.0g,40.0㎎,0g,0g,0g
CJ)백설진한참기름,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.03g,0g
CJ)백설찰국수소면,100g,340.0㎉,10g,0g,75g,3.93g,1140.0㎎,0g,0g,0g
CJ)백설카놀라유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)백설카놀라유라이트,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)백설콩기름,100.0g,900㎉,0g,100g,0g,0g,0㎎,0g,17g,0g
CJ)백설플레인요거트,100g,70.0㎉,3g,2.6g,9g,9.0g,60.0㎎,0g,1.6g,0g
CJ)백설핫도그,70g,130.68㎉,3.38g,5.24g,17.64g,4.94g,267.88㎎,0g,1.32g,0g
CJ)백설핫케익믹스,100.0g,395㎉,6g,7g,77g,26g,590㎎,0g,2.8g,0g
CJ)백설해바라기유,100.0mL,900.0㎉,0g,100.0g,0.0g,0g,0.0㎎,0g,12.0g,0g
CJ)백설햄계란을입혀부쳐먹으면정말맛있는소시지,30g,15.0㎉,0.9g,0.96g,0.6g,0.31g,66.0㎎,0g,0.33g,0g
CJ)백설햇당면500G,100.0g,350㎉,0g,0.5g,86g,0g,0㎎,0g,0g,0g
CJ)백설현미유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.06g,0g
CJ)버거킹전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.06g,0g
CJ)버무리튀김전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)버섯야채죽,280.0g,150㎉,3g,2.2g,29g,2g,620.0㎎,0g,0g,0.0g
CJ)베이컨포테이토피자피자코리아,70g,114.33㎉,5.44g,4.36g,13.61g,1.47g,234.11㎎,0g,2.23g,0g
CJ)복숭아홍차,200g,107.47㎉,0g,0g,26.59g,32.94g,16.61㎎,0g,0g,0g
CJ)복주머니딤섬,150g,315.0㎉,12g,13.5g,34.5g,5.66g,540.0㎎,0g,5.25g,0g
CJ)부어치킨전용유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.05g,0g
CJ)부침가루,100.0g,350㎉,9g,1.6g,75g,3g,760㎎,0g,0.4g,0g
CJ)부침용밀가루,100.0g,360㎉,10g,1.6g,76g,0g,0㎎,0g,0.4g,0g
CJ)분유용유지피P,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.12g,0g
CJ)불고기덮밥,250.0g,315㎉,10g,2g,64g,7g,750㎎,0g,0.8g,0g
CJ)불고기햄버그,30g,17.46㎉,0.69g,1.03g,1.35g,0.0g,44.82㎎,0g,0g,0g
CJ)브랏비엔나,100.0g,230.0㎉,15g,16.0g,6.0g,2g,860.0㎎,0g,5.0g,0g
CJ)비비고bibigo군만두,450.0g,1015㎉,0g,0g,0g,11g,1130㎎,55g,17g,0.5미만g
CJ)비비고bibigo새우왕교자,315.0g,565㎉,0g,0g,0g,9g,1370㎎,95g,8g,0.5미만g
CJ)비비고bibio새우왕교자,315.0g,565.0㎉,24g,25.0g,61.0g,9g,1370.0㎎,0g,8.0g,0.3g
CJ)비비고갈비탕,400.0g,110.0㎉,11g,7.0g,0.4g,0g,1080.0㎎,0g,3.6g,0.5g
CJ)비비고감자탕,460.0g,305㎉,34g,9g,22g,2g,1810.0㎎,0g,1.5g,0.0g
CJ)비비고고등어시래기조림,160.0g,300㎉,18g,18g,16g,9g,1380.0㎎,0g,5g,0.0g
CJ)비비고김스낵바베큐맛,36.0g,152㎉,1g,4g,28g,2g,396㎎,0g,1g,1g
