식품명,1회제공량,에너지,단백질,지방,탄수화물,당류,나트륨,콜레스테롤,포화지방산,트랜스지방산
알엠씨에프)마카다미아토피화이트,30.0g,54.26㎉,0.26g,3.71g,4.24g,3.38g,33.09㎎,0g,1.72g,0g
알엠씨에프)미니화이트쿠키드롭,30.0g,44.1㎉,0.54g,2.52g,5.67g,4.86g,0㎎,0g,1.26g,0g
알엠씨에프)피칸베어화이트,30g,49.39㎉,0.44g,3.18g,4.94g,4.28g,16.46㎎,0g,1.54g,0g
알엠씨에프)화이트마카다미아베어,30g,50.49㎉,0.33g,3.07g,4.61g,4.59g,15.37㎎,0g,1.54g,0g
알엠씨에프)화이트아몬드바크,30g,49.5㎉,0.68g,3.15g,4.95g,3.38g,7.88㎎,0g,2.03g,0g
알엠씨에프)화이트초코오레오,30g,43.2㎉,0.36g,2.16g,6.12g,4.68g,30.6㎎,0g,1.62g,0g
알엠씨에프)화이트초코프레즐,30g,41.25㎉,0.38g,1.69g,6.38g,3.38g,20.62㎎,0g,1.5g,0g
알엠씨에프)화이트코코넛클러스터,30g,45.0㎉,0.26g,2.38g,5.29g,4.59g,15.88㎎,0g,2.12g,0g
알엠씨에프)화이트피넛버터버켓,30g,48.6㎉,0.54g,2.88g,5.22g,5.04g,14.4㎎,0g,2.16g,0g
알엠씨에프)화이트피넛버터핑거,30g,50.29㎉,1.06g,3.44g,4.5g,4.59g,21.18㎎,0g,1.85g,0g
알찬)고르곤졸라씬피자,190.0g,577㎉,29g,31g,48g,3g,655㎎,0g,17g,1g
알찬)뉴욕치즈케이크딥디쉬피자,349.0g,1115㎉,37g,55g,118g,27g,1092㎎,0g,36g,0.4g
알찬)마르게리따피자,305.0g,825㎉,41g,42g,74g,5g,831㎎,0g,25g,1g
알찬)베샤멜고르곤졸라씬피자,346.0g,1051㎉,53g,57g,87g,6g,1193㎎,0g,32g,1g
알찬)불고기시카고치즈피자,185.0g,477㎉,247g,13g,65g,10g,714㎎,0g,8g,0g
알찬)불고기시카고피자,185.0g,477㎉,24g,13g,65g,10g,714㎎,0g,8g,0g
알찬)불고기씬피자,380.0g,993㎉,46g,42g,112g,5g,1042㎎,0g,25g,0.7g
알찬)불고기콤비반반피자,360.0g,982㎉,45g,45g,104g,6g,1073㎎,0g,25g,1g
알찬)싱글팩토리불고기피도그,100.0g,257㎉,11g,9g,34g,1g,535㎎,0g,5g,0g
알찬)싱글팩토리콤비네이션피도그,100.0g,266㎉,13g,11g,29g,1g,511㎎,0g,5g,0g
알찬)씬고르곤졸라피자,285.0g,866㎉,44g,47g,72g,5g,983㎎,0g,26g,1g
알찬)씬불고기피자,360.0g,933㎉,44g,42g,101g,5g,938㎎,0g,24g,1g
알찬)오리지날시카고딥디쉬피자,411.0g,1100㎉,41g,51g,120g,15g,1578㎎,0g,32g,1g
알찬)진주햄골드피자,100.0g,250㎉,12g,10g,28g,5g,390㎎,0g,5g,0.3g
알찬)콤비네이션피자,415.0g,1042㎉,46g,40g,130g,5g,1790㎎,0g,19g,0g
알찬)페파로니시카고치즈피자,370.0g,982㎉,48g,36g,118g,22g,1158.0㎎,0g,20g,0.0g
알찬)하이클래스치즈앤불고기피자,530.0g,1336㎉,67g,55g,151g,5g,2414㎎,0g,29g,0g
알찬)하이클래스치즈앤치즈피자,460.0g,1245㎉,67g,60g,118g,5g,2342㎎,0g,31g,0g
알찬)하이클래스치즈앤콤비네이션피자,530.0g,1378㎉,72g,63g,138g,6g,2741㎎,0g,31g,0g
알찬)핫치킨쉬림프반반피자,360.0g,960㎉,46g,44g,99g,0g,987㎎,0g,24g,1g
알찬)핫치킨시카고치즈피자,370.0g,976㎉,52g,30g,126g,24g,1132㎎,0g,16g,0g
알찬)핫치킨시카고피자,185.0g,488㎉,26g,15g,63g,12g,566㎎,0g,8g,0g
알찬)핫치킨씬피자,360.0g,971㎉,49g,43g,102g,6g,1048㎎,0g,24g,1g
알파바이오)나를위한콜라겐석류,70.0mL,40㎉,0.7g,0g,11g,8g,10㎎,0g,0g,0g
알파바이오)뷰티100석류콜라겐,20.0mL,59㎉,0g,0g,15g,13g,5㎎,0g,0g,0g
알파바이오)정직한농부의배도라지,80.0mL,35㎉,0g,0g,8g,5g,7㎎,0g,0g,0g
앙팡드봉봉)한입솜사탕레인보우,45.0g,178㎉,0g,0g,45g,42g,2㎎,0g,0g,0g
앙팡드봉봉)한입솜사탕스트로베리,50.0g,195㎉,0.4g,0.06g,48g,48g,4.3㎎,0g,0.01g,0g
앙팡드봉봉)한입솜사탕오레오,50.0g,209㎉,0.5g,2.4g,46g,43g,25㎎,0g,1.4g,0g
앙팡드봉봉)한입솜사탕오리지널,45.0g,178㎉,0g,0g,45g,42g,2㎎,0g,0g,0g
